locus_tag	ftype	length_bp	gene	EC_number	COG	product
JAFIFIBC_00001	CDS	612	slyA_1			Transcriptional regulator SlyA
JAFIFIBC_00002	CDS	1809		3.6.3.-		Putative multidrug export ATP-binding/permease protein
JAFIFIBC_00003	CDS	684	yiaD		COG2885	putative lipoprotein YiaD
JAFIFIBC_00004	CDS	864	thyA	2.1.1.45	COG0207	Thymidylate synthase
JAFIFIBC_00005	CDS	1950	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
JAFIFIBC_00006	CDS	516	folA	1.5.1.3	COG0262	Dihydrofolate reductase
JAFIFIBC_00007	CDS	579				hypothetical protein
JAFIFIBC_00008	CDS	903				hypothetical protein
JAFIFIBC_00009	CDS	366	yobA		COG2372	Protein YobA
JAFIFIBC_00010	CDS	363				hypothetical protein
JAFIFIBC_00011	CDS	1401	ftsP_1			Cell division protein FtsP
JAFIFIBC_00012	CDS	1398				hypothetical protein
JAFIFIBC_00013	CDS	342				hypothetical protein
JAFIFIBC_00014	CDS	477				hypothetical protein
JAFIFIBC_00015	CDS	1293	intA		COG0582	Prophage integrase IntA
JAFIFIBC_00016	CDS	312				hypothetical protein
JAFIFIBC_00017	CDS	987	argP_1		COG0583	HTH-type transcriptional regulator ArgP
JAFIFIBC_00018	CDS	1266				hypothetical protein
JAFIFIBC_00019	CDS	942				hypothetical protein
JAFIFIBC_00020	CDS	408				hypothetical protein
JAFIFIBC_00021	CDS	765				hypothetical protein
JAFIFIBC_00022	CDS	564				hypothetical protein
JAFIFIBC_00023	CDS	510	virB1			Type IV secretion system protein virB1
JAFIFIBC_00024	CDS	291	virB2			Type IV secretion system protein virB2
JAFIFIBC_00025	CDS	333	virB3			Type IV secretion system protein virB3
JAFIFIBC_00026	CDS	2493	virB4			Type IV secretion system protein virB4
JAFIFIBC_00027	CDS	429				hypothetical protein
JAFIFIBC_00028	CDS	1080				hypothetical protein
JAFIFIBC_00029	CDS	705	virB5			Type IV secretion system protein virB5
JAFIFIBC_00030	CDS	786	virB8			Type IV secretion system protein virB8
JAFIFIBC_00031	CDS	912	virB9			Type IV secretion system protein virB9
JAFIFIBC_00032	CDS	1464				hypothetical protein
JAFIFIBC_00033	CDS	1086				Type IV secretion system protein VirB11
JAFIFIBC_00034	CDS	2007				hypothetical protein
JAFIFIBC_00035	CDS	654				Type IV secretion system putative outer membrane lipoprotein/BS1330_II0058
JAFIFIBC_00036	CDS	1143				hypothetical protein
JAFIFIBC_00037	CDS	1230				hypothetical protein
JAFIFIBC_00038	CDS	303				hypothetical protein
JAFIFIBC_00039	CDS	225			COG3039	IS5 family transposase ISBvi2
JAFIFIBC_00040	CDS	513				hypothetical protein
JAFIFIBC_00041	CDS	519				hypothetical protein
JAFIFIBC_00042	CDS	975				hypothetical protein
JAFIFIBC_00043	CDS	633				hypothetical protein
JAFIFIBC_00044	CDS	450				hypothetical protein
JAFIFIBC_00045	CDS	750				hypothetical protein
