locus_tag	ftype	length_bp	gene	EC_number	COG	product
EMKCLNIH_00001	CDS	612	slyA_1			Transcriptional regulator SlyA
EMKCLNIH_00002	CDS	1809		3.6.3.-		Putative multidrug export ATP-binding/permease protein
EMKCLNIH_00003	CDS	684	yiaD		COG2885	putative lipoprotein YiaD
EMKCLNIH_00004	CDS	864	thyA	2.1.1.45	COG0207	Thymidylate synthase
EMKCLNIH_00005	CDS	1950	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
EMKCLNIH_00006	CDS	516	folA	1.5.1.3	COG0262	Dihydrofolate reductase
EMKCLNIH_00007	CDS	579				hypothetical protein
EMKCLNIH_00008	CDS	903				hypothetical protein
EMKCLNIH_00009	CDS	366	yobA		COG2372	Protein YobA
EMKCLNIH_00010	CDS	363				hypothetical protein
EMKCLNIH_00011	CDS	1401	ftsP_1			Cell division protein FtsP
EMKCLNIH_00012	CDS	1398				hypothetical protein
EMKCLNIH_00013	CDS	342				hypothetical protein
EMKCLNIH_00014	CDS	477				hypothetical protein
EMKCLNIH_00015	CDS	1293	intA		COG0582	Prophage integrase IntA
EMKCLNIH_00016	CDS	312				hypothetical protein
EMKCLNIH_00017	CDS	987	argP_1		COG0583	HTH-type transcriptional regulator ArgP
EMKCLNIH_00018	CDS	1266				hypothetical protein
EMKCLNIH_00019	CDS	942				hypothetical protein
EMKCLNIH_00020	CDS	408				hypothetical protein
EMKCLNIH_00021	CDS	765				hypothetical protein
EMKCLNIH_00022	CDS	564				hypothetical protein
EMKCLNIH_00023	CDS	510	virB1			Type IV secretion system protein virB1
EMKCLNIH_00024	CDS	291	virB2			Type IV secretion system protein virB2
EMKCLNIH_00025	CDS	333	virB3			Type IV secretion system protein virB3
EMKCLNIH_00026	CDS	2493	virB4			Type IV secretion system protein virB4
EMKCLNIH_00027	CDS	429				hypothetical protein
EMKCLNIH_00028	CDS	1080				hypothetical protein
EMKCLNIH_00029	CDS	705	virB5			Type IV secretion system protein virB5
EMKCLNIH_00030	CDS	786	virB8			Type IV secretion system protein virB8
EMKCLNIH_00031	CDS	912	virB9			Type IV secretion system protein virB9
EMKCLNIH_00032	CDS	1464				hypothetical protein
EMKCLNIH_00033	CDS	1086				Type IV secretion system protein VirB11
EMKCLNIH_00034	CDS	2007				hypothetical protein
EMKCLNIH_00035	CDS	654				Type IV secretion system putative outer membrane lipoprotein/BS1330_II0058
EMKCLNIH_00036	CDS	1143				hypothetical protein
EMKCLNIH_00037	CDS	1230				hypothetical protein
EMKCLNIH_00038	CDS	303				hypothetical protein
EMKCLNIH_00039	CDS	225			COG3039	IS5 family transposase ISBvi2
EMKCLNIH_00040	CDS	513				hypothetical protein
EMKCLNIH_00041	CDS	519				hypothetical protein
EMKCLNIH_00042	CDS	975				hypothetical protein
EMKCLNIH_00043	CDS	633				hypothetical protein
EMKCLNIH_00044	CDS	450				hypothetical protein
EMKCLNIH_00045	CDS	750				hypothetical protein
EMKCLNIH_00046	CDS	459				hypothetical protein
EMKCLNIH_00047	CDS	279				hypothetical protein
EMKCLNIH_00048	CDS	312				hypothetical protein
EMKCLNIH_00049	CDS	354				hypothetical protein
EMKCLNIH_00050	CDS	876				hypothetical protein
EMKCLNIH_00051	CDS	483				Single-stranded DNA-binding protein
EMKCLNIH_00052	CDS	522				hypothetical protein
EMKCLNIH_00053	CDS	192				hypothetical protein
EMKCLNIH_00054	CDS	654	pgrR_1			HTH-type transcriptional regulator PgrR
EMKCLNIH_00055	CDS	465				hypothetical protein
EMKCLNIH_00056	CDS	276				hypothetical protein
EMKCLNIH_00057	CDS	672				hypothetical protein
EMKCLNIH_00058	CDS	969	rbsB_1		COG1879	Ribose import binding protein RbsB
EMKCLNIH_00059	CDS	1845				hypothetical protein
EMKCLNIH_00060	CDS	993	yhaJ_1			HTH-type transcriptional regulator YhaJ
EMKCLNIH_00061	CDS	702	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
EMKCLNIH_00062	CDS	1239	egl	3.2.1.4		Endoglucanase
EMKCLNIH_00063	CDS	711				hypothetical protein
EMKCLNIH_00064	CDS	213				hypothetical protein
EMKCLNIH_00065	CDS	387	vapC_1	3.1.-.-		tRNA(fMet)-specific endonuclease VapC
EMKCLNIH_00066	CDS	423				hypothetical protein
EMKCLNIH_00067	CDS	354				hypothetical protein
EMKCLNIH_00068	CDS	528				hypothetical protein
EMKCLNIH_00069	CDS	525				hypothetical protein
EMKCLNIH_00070	CDS	711				hypothetical protein
EMKCLNIH_00071	CDS	648				hypothetical protein
EMKCLNIH_00072	CDS	753				hypothetical protein
EMKCLNIH_00073	CDS	867				hypothetical protein
EMKCLNIH_00074	CDS	1089				hypothetical protein
EMKCLNIH_00075	CDS	13872				hypothetical protein
EMKCLNIH_00076	CDS	1323				hypothetical protein
EMKCLNIH_00077	CDS	711				hypothetical protein
EMKCLNIH_00078	CDS	441				hypothetical protein
EMKCLNIH_00079	CDS	321	frp			Fluorescence recovery protein
EMKCLNIH_00080	CDS	438				hypothetical protein
EMKCLNIH_00081	CDS	762	pkn1_1	2.7.11.1	COG0515	Serine/threonine-protein kinase pkn1
EMKCLNIH_00082	CDS	510				hypothetical protein
EMKCLNIH_00083	CDS	453				hypothetical protein
EMKCLNIH_00084	CDS	426				hypothetical protein
EMKCLNIH_00085	CDS	1287				hypothetical protein
EMKCLNIH_00086	CDS	1176	dap_1	3.4.11.19		D-aminopeptidase
EMKCLNIH_00087	CDS	2613	mprF	2.3.2.3		Phosphatidylglycerol lysyltransferase
EMKCLNIH_00088	CDS	1068	pglF	4.2.1.135	COG1086	UDP-N-acetyl-alpha-D-glucosamine C6 dehydratase
EMKCLNIH_00089	CDS	735	epsL	2.-.-.-	COG2148	putative sugar transferase EpsL
EMKCLNIH_00090	CDS	384				hypothetical protein
EMKCLNIH_00091	CDS	990	ascD_1	1.17.1.-		CDP-6-deoxy-L-threo-D-glycero-4-hexulose-3-dehydrase reductase
EMKCLNIH_00092	CDS	774	rfbF	2.7.7.33	COG1208	Glucose-1-phosphate cytidylyltransferase
EMKCLNIH_00093	CDS	1077	rfbG	4.2.1.45	COG0451	CDP-glucose 4,6-dehydratase
EMKCLNIH_00094	CDS	1344	colD	4.2.1.168		GDP-4-keto-6-deoxy-D-mannose 3-dehydratase
EMKCLNIH_00095	CDS	825	cbbT	2.2.1.1		Transketolase 2
EMKCLNIH_00096	CDS	924	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
EMKCLNIH_00097	CDS	1044	rmd	1.1.1.281	COG1089	GDP-6-deoxy-D-mannose reductase
EMKCLNIH_00098	CDS	183				hypothetical protein
EMKCLNIH_00099	CDS	1380				hypothetical protein
EMKCLNIH_00100	CDS	1062				hypothetical protein
EMKCLNIH_00101	CDS	657	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
EMKCLNIH_00102	CDS	999				hypothetical protein
EMKCLNIH_00103	CDS	591	gmhA1	5.3.1.28	COG0279	Phosphoheptose isomerase 1
EMKCLNIH_00104	CDS	939	rfaE	2.7.1.167	COG2870	D-beta-D-heptose 7-phosphate kinase
EMKCLNIH_00105	CDS	1017	hldD	5.1.3.20		ADP-L-glycero-D-manno-heptose-6-epimerase
EMKCLNIH_00106	CDS	489		2.7.7.70	COG2870	D-beta-D-heptose 1-phosphate adenylyltransferase
EMKCLNIH_00107	CDS	552	gmhB	3.1.3.82	COG0241	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase
EMKCLNIH_00108	CDS	1071				hypothetical protein
EMKCLNIH_00109	CDS	927				hypothetical protein
EMKCLNIH_00110	CDS	813				hypothetical protein
EMKCLNIH_00111	CDS	1299				hypothetical protein
EMKCLNIH_00112	CDS	1128				hypothetical protein
EMKCLNIH_00113	CDS	1959				hypothetical protein
EMKCLNIH_00114	CDS	1401				hypothetical protein
EMKCLNIH_00115	CDS	1308				hypothetical protein
EMKCLNIH_00116	CDS	258				hypothetical protein
EMKCLNIH_00117	CDS	1530	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
EMKCLNIH_00118	CDS	771	rsmI_1	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
EMKCLNIH_00119	CDS	630	yceF		COG0424	Maf-like protein YceF
EMKCLNIH_00120	CDS	558	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
EMKCLNIH_00121	CDS	183	rpmF		COG0333	50S ribosomal protein L32
EMKCLNIH_00122	CDS	1092	plsX	2.3.1.-	COG0416	Phosphate acyltransferase
EMKCLNIH_00123	CDS	942	fabH	2.3.1.180		3-oxoacyl-[acyl-carrier-protein] synthase 3
EMKCLNIH_00124	CDS	939	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
EMKCLNIH_00125	CDS	762	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EMKCLNIH_00126	CDS	240	acpP_1		COG0236	Acyl carrier protein
EMKCLNIH_00127	CDS	1245	fabF_1	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EMKCLNIH_00128	CDS	528				hypothetical protein
EMKCLNIH_00129	CDS	615	rpoE_1			ECF RNA polymerase sigma-E factor
EMKCLNIH_00130	CDS	246				hypothetical protein
EMKCLNIH_00131	CDS	918	dmlR_1			HTH-type transcriptional regulator DmlR
EMKCLNIH_00132	CDS	1134	dthadh	4.3.1.27		D-threo-3-hydroxyaspartate dehydratase
EMKCLNIH_00133	CDS	972	ala	1.4.1.1		Alanine dehydrogenase
EMKCLNIH_00134	CDS	597				hypothetical protein
EMKCLNIH_00135	CDS	507				hypothetical protein
EMKCLNIH_00136	CDS	1188	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
EMKCLNIH_00137	CDS	423	btr		COG0614	HTH-type transcriptional activator Btr
EMKCLNIH_00138	CDS	501	lrp_1		COG1522	Leucine-responsive regulatory protein
EMKCLNIH_00139	CDS	1413	spuC_1	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
EMKCLNIH_00140	CDS	888				hypothetical protein
EMKCLNIH_00141	CDS	1284	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
EMKCLNIH_00142	CDS	1623	sgrR			HTH-type transcriptional regulator SgrR
EMKCLNIH_00143	CDS	957	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
EMKCLNIH_00144	CDS	888				hypothetical protein
EMKCLNIH_00145	CDS	1644	gsiA_1	3.6.3.-	COG1123	Glutathione import ATP-binding protein GsiA
EMKCLNIH_00146	CDS	1185				hypothetical protein
EMKCLNIH_00147	CDS	1479	ald_1	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
EMKCLNIH_00148	CDS	639				hypothetical protein
EMKCLNIH_00149	CDS	690				hypothetical protein
EMKCLNIH_00150	CDS	399				hypothetical protein
EMKCLNIH_00151	CDS	741				hypothetical protein
EMKCLNIH_00152	CDS	666				hypothetical protein
EMKCLNIH_00153	CDS	798				hypothetical protein
EMKCLNIH_00154	CDS	1572				hypothetical protein
EMKCLNIH_00155	CDS	1320				hypothetical protein
EMKCLNIH_00156	CDS	2892				hypothetical protein
EMKCLNIH_00157	CDS	1335				hypothetical protein
EMKCLNIH_00158	CDS	1146			COG3177	putative protein
EMKCLNIH_00159	CDS	3228				hypothetical protein
EMKCLNIH_00160	CDS	465				hypothetical protein
EMKCLNIH_00161	CDS	459				hypothetical protein
EMKCLNIH_00162	CDS	1011				Zinc-type alcohol dehydrogenase-like protein
EMKCLNIH_00163	CDS	489				hypothetical protein
EMKCLNIH_00164	CDS	693	tesA	3.1.1.1	COG2755	Esterase TesA
EMKCLNIH_00165	CDS	696	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EMKCLNIH_00166	CDS	933	yedI		COG2354	Inner membrane protein YedI
EMKCLNIH_00167	CDS	1548				hypothetical protein
EMKCLNIH_00168	CDS	795		5.2.1.8	COG0760	putative parvulin-type peptidyl-prolyl cis-trans isomerase
EMKCLNIH_00169	CDS	285				hypothetical protein
EMKCLNIH_00170	CDS	660	yciB		COG2917	putative intracellular septation protein A
EMKCLNIH_00171	CDS	420	msrB	1.8.4.12		Peptide methionine sulfoxide reductase MsrB
EMKCLNIH_00172	CDS	1566				hypothetical protein
EMKCLNIH_00173	CDS	1656	dmdB	6.2.1.44	COG0318	3-methylmercaptopropionyl-CoA ligase
EMKCLNIH_00174	CDS	1185				hypothetical protein
EMKCLNIH_00175	CDS	1239	braC_1		COG0683	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein
EMKCLNIH_00176	CDS	1032	livH_1		COG0559	High-affinity branched-chain amino acid transport system permease protein LivH
